"Dsum","a[1]","a[2]","a[3]","a[4]","a[5]","a[6]","deviance","mu[1]","mu[2]","mu[3]","mu[4]","mu[5]","mu[6]","mu[7]","mu[8]","mu[9]","mu[10]","mu[11]","mu[12]","mu[13]","mu[14]","mu[15]","mu[16]","mu[17]","mu[18]","mu[19]","mu[20]","mu[21]","mu[22]","mu[23]","mu[24]","mu[25]","mu[26]","mu[27]","mu[28]","mu[29]","mu[30]","mu[31]","mu[32]","mu[33]","mu[34]","mu[35]","mu[36]","mu[37]","mu[38]","mu[39]","mu[40]","mu[41]","mu[42]","mu[43]","mu[44]","mu[45]","mu[46]","mu[47]","mu[48]","mu[49]","mu[50]","mu[51]","mu[52]"
232.316904252806,457.772018619207,1775.73886976405,-705.378662713745,620.813879329752,-3880.09275855811,1239.1458284293,192.927154547158,-415206.370381255,-266658.880228456,-623979.46009456,-335375.925899885,-293967.254927017,-98045.3781703634,-280323.744998765,-287762.438565495,-155733.580566343,38346.3507801296,-196380.914723487,165553.274537209,-222960.848862747,-528951.923721918,-256797.860884834,-17263.9475105109,-447771.928451806,112798.046718105,-111931.053216786,-222921.958489952,-75448.0014081734,70882.3812133035,-384144.93262017,-489797.708806632,-476110.714424363,69179.6073810671,-124361.42998744,44742.674511237,-379737.276606331,-146728.235327321,-164971.896063523,-207566.248479866,-372756.115289606,-16898.3877320726,-77646.7113729632,-92915.5479279645,-462437.843861865,-88247.7529863603,-247026.662464428,-415676.328454555,-552247.580375111,-297352.174089643,-507586.238398536,-263748.512496585,-459697.344973667,-199791.557885664,-222044.263799145,81754.6435729641,-132328.055081564,-192784.647652059,-168745.933546287,-322658.72842908
64558.3179919312,2798.77465590066,2527.43398692705,-417.020112874774,1943.53945588635,-3005.87593373561,-1388.34914332517,479.901282605423,-129408.657882076,-242887.582941158,34922.1714416059,-57249.2719279073,-207693.234950491,-22605.3043922402,24195.1716415705,32948.9110604206,-76170.7202141219,216740.140711498,139713.588600538,278883.184461596,-15805.6218748256,-184543.34706491,-157113.745759148,84040.5063338043,-263214.659992275,123787.471703702,57152.8227362533,116380.239250465,131528.664378996,274236.540677984,-96505.5809017807,-214338.004022118,-296875.637425425,176094.308769212,135017.367354533,43286.3962081114,-392505.425309272,91696.5719315384,-114571.041293344,37605.6716284918,-110630.310948969,148248.101270663,58402.1203671635,-61516.0423079562,-297854.869687598,183663.920474391,579.349967531045,-316291.990760256,-180609.945539228,-79561.679811566,-240096.284524576,-358057.849550136,-269691.413367713,-39156.8074832322,69510.5922391278,336236.167764093,193755.453549511,-186986.567060161,-29471.5924917475,34860.0232361469
984283.479967427,-2868.67849980081,294.562509768385,-1622.61806364684,-2174.7550127677,-1567.41920530359,-4645.78835724774,614.049726655622,-636225.020519833,-831840.999953099,-496603.454416219,-329579.465903652,-1213923.99792816,-469211.419687547,-526389.830217681,-547753.457628376,-812331.509626333,-355810.022386933,-631208.653744671,-743831.888336342,-696076.961095582,-626545.292804435,-685902.627515621,-215658.499090631,-651614.406842842,-672277.089787798,-976923.336567317,-609123.344426018,-677604.087074935,-334881.996121376,-830137.789404375,-826037.475589484,-694186.543441942,-203261.69060755,-830568.409549709,-791996.349343118,-1537929.18857276,-727681.15168543,-616271.222809962,-435575.354206963,-460585.487941108,-901639.705196593,-607501.108175712,-689279.66541555,-654317.348641835,-486752.73406645,-452444.474114591,-612056.555642571,-992279.190331999,-781231.177898337,-800907.905030198,-1278679.753289,-965636.287770803,-940432.482751139,-578292.271567369,-508337.526769822,-618540.16929675,-832673.852598181,-668780.139841636,-654507.19506291
38257.6465131288,-333.646971526149,-1681.8133780753,-1369.23118091391,3016.78529113753,1883.31931326789,-959.027453965685,454.472931317805,292063.779973226,187314.050843586,175320.316203615,252866.28491883,474508.039508748,146943.748769661,442179.19825393,536796.830147848,310782.975029775,103283.081550954,468773.021834957,275463.629663806,349125.782378435,565687.464493565,283698.627883946,37148.1991930592,257194.190231646,214273.308171846,467165.583220936,437069.568124688,366732.778514088,189798.804588001,490744.751823916,533456.999335002,383339.058714559,95705.0758818347,562032.690764762,232829.86478256,552784.627657717,462233.20525911,355816.920309482,291169.049036658,354426.18916751,433353.622020427,284397.790387976,216335.998017047,305180.267786388,328777.796052679,353843.448784102,181924.65697051,692337.802104938,457257.447488225,476447.996179075,267526.362207395,469432.302305168,413562.688951651,306102.184369405,265497.662770361,410656.078483957,170727.747259449,275809.370907572,476678.542645583
284167.397049522,1864.02000918966,1157.94628026992,-866.297732469432,14.6563231729042,2132.91752659878,-2898.87810567965,585.865791331812,-230362.264419689,-37902.2241724655,-102346.031850565,-97712.8441785959,-69719.7374045414,4254.64241350873,195446.683222134,223779.102179408,-47636.3928165314,-55330.7912949807,114296.127376416,-203920.188645592,57647.633154065,331227.770234469,52820.4122433294,11299.1990345284,150597.633224861,-183319.021635817,-80362.6153923772,122829.285442793,-7645.68162672684,-24464.6965457984,160268.1638117,217918.915705219,207025.444459005,2958.53408853812,48026.5240924678,-186807.77255392,-131869.744552765,38082.4316435681,-61125.924303404,124630.451359208,231976.923164369,-105381.104810546,-7557.56879609563,-71867.6288577557,175377.611841486,51623.8332749229,160625.503987885,113511.180263765,254452.309377145,101505.164210774,212700.091963202,-177421.604484247,133991.463030965,-21856.6678130453,96712.6294727357,-50954.8503605525,70903.5049737747,-81167.3877446573,5857.05407162661,180456.153014567
370779.956022645,1424.4971870697,-4104.63373420655,-4199.58109932325,-1143.36210334534,-2754.72265305206,1058.00808649837,557.496446639497,-750016.635434351,-721112.768382535,-610117.035160817,-396475.425456638,-892477.429296047,-486565.590535397,-812659.090717654,-768051.874891521,-678938.034726235,-634821.411177295,-928535.686096603,-557301.57087231,-814535.574247189,-969901.339951456,-681739.921883415,-464611.636221414,-928838.74683066,-356851.519286447,-796690.284322658,-921851.165223347,-700628.435787217,-537143.34807823,-1004948.60859222,-945005.547762844,-865427.912512481,-363643.856350236,-758246.49243841,-461056.088912201,-902961.820886282,-711471.12946881,-669974.822686783,-726057.708218957,-797687.421398779,-724828.202240511,-640832.501753021,-488395.354776765,-849784.036151455,-714649.441837924,-695310.474357057,-779300.283355131,-1170916.90415408,-810312.685047362,-1002857.27223246,-799706.952555469,-931056.960113285,-872169.066466082,-994272.359975013,-763304.464184705,-918120.990947171,-687620.009852716,-704888.672321199,-992169.742439001
166298.597204852,-4135.99229202267,-3936.74791132699,2985.31872585024,-1292.08839795242,-3846.06062114084,-1217.66517895367,526.865753482302,-152072.544739164,-508373.421676398,-84316.5413971304,-726657.558878498,-775464.466452234,-341268.467252151,-515948.820068921,-598808.762108599,-484693.993262029,34393.1942415487,-373490.38675182,-176696.984335405,-461361.331472403,-740690.600122259,-549090.722202654,-43968.1333865031,-499550.915985004,-285359.687979491,-486489.435091177,-345778.870946299,-377407.755112294,-73819.071852727,-707192.409553244,-830784.536396588,-729913.938404593,-83972.0994619193,-622543.879890318,-338592.283896695,-1018082.62187631,-486778.90958509,-209975.431019457,-331790.067252427,-537153.928653885,-438950.256513342,-304174.028743376,-426221.818611833,-588989.970037305,-209334.879736959,-395301.070560483,-468370.890690718,-881217.196229382,-634799.82706283,-742993.939869313,-783327.365067181,-877402.884492808,-561110.979887577,-241061.576259363,-30451.7073667619,-266393.4576951,-488098.174990386,-398283.084894973,-459712.406713769
806499.038405693,2361.10719095587,3589.72142635187,-5845.27654918407,-1646.43462821823,-605.267822163892,1771.94347374845,614.394549623089,-461570.617877164,-376555.108167001,-531279.385173918,-461697.092970585,-479846.505417938,-225416.180863357,-487176.552317806,-451575.716369367,-423768.09288634,-629816.22845052,-768186.805374032,-511277.895342648,-568390.248208764,-574410.714529235,-338780.784679865,-364192.820691483,-566785.273972563,-238357.3145174,-648736.378731918,-789915.991057104,-507625.901534039,-441215.937099019,-607931.405998751,-476710.756491973,-397627.943991659,-254258.582856559,-486282.036773112,-301260.753805807,-424958.068516187,-528581.16420863,-648254.269027607,-502595.393984578,-417499.262222042,-523147.257014064,-481284.428536827,-217967.711759501,-491784.764621579,-632492.605514918,-481182.711549283,-460168.142030041,-794101.042120046,-482652.995790966,-571332.112860366,-310168.117722138,-426527.314588962,-575817.075694924,-832708.124042812,-762762.977212249,-827224.830136848,-372370.362173954,-466589.222272901,-792165.539648024
325531.780487583,-708.438665258591,-2198.43979649423,3180.29997799852,-5851.25956605898,6092.72280736411,-19.0331618716541,577.448277526911,124327.873807023,363311.235811511,-703524.6058246,294114.553396922,78553.1292651712,32608.3586472698,-99023.1772052905,-173093.146984957,-41000.1880594777,-310635.992188489,-319869.526527434,-811055.836862428,-42814.5002436388,328784.197791956,200736.071746428,-61338.8835416399,575433.542697397,-531078.511077424,-394735.772386409,-187852.338902933,-384492.965761034,-506657.897316125,109339.980067483,320171.124548109,535712.792436715,-331067.122820374,-549352.992178487,-399002.818746131,196652.878777851,-357439.689514193,-106517.050603576,-7861.47928927583,240937.896620016,-568798.023708807,-239443.153392756,-61867.9349620488,612020.383442899,-339155.326888873,-15746.6707451008,684908.049204602,258933.316703815,9701.5525266233,438682.821253648,372492.842972271,363389.532010364,-112621.420343001,-7951.56450762268,-660184.401109973,-369562.642297203,255445.620073991,-34459.2591001198,-62897.8875128549
18001.804094872,-3654.15477772905,-1325.45491842694,-2524.70674862998,743.577848572675,-1505.85044397025,-5141.13551919736,418.571932030755,-328113.756443526,-757071.089333332,-475328.696764816,-472911.232711368,-922245.87185059,-397959.657359601,-242732.735635081,-200413.887681944,-607262.278520386,-226355.704984269,-270193.326655535,-418720.371246802,-465244.620888239,-349750.688184003,-557812.133917459,-184188.72077399,-572023.950433999,-442496.375165151,-597939.568954085,-291372.672598039,-382787.788079489,-132866.651851313,-528845.730933521,-556012.998628262,-555593.07462638,-104054.409601618,-381871.629130366,-567688.672515862,-1211035.05592332,-373105.160644628,-144906.822101384,-252334.96081191,-291089.135945803,-520285.530904002,-375664.397991278,-538306.92791877,-555994.88261694,-210461.672503238,-225273.975705325,-609567.214986535,-594560.300175387,-503821.610289206,-576664.549375462,-1163132.15362387,-738371.036605844,-661114.53465886,-365914.628257865,-204428.382988303,-279014.355844676,-756643.020089755,-482755.436096024,-323723.346958689
