"Dsum","a[1]","a[2]","a[3]","a[4]","a[5]","a[6]","deviance","mu[1]","mu[2]","mu[3]","mu[4]","mu[5]","mu[6]","mu[7]","mu[8]","mu[9]","mu[10]","mu[11]","mu[12]","mu[13]","mu[14]","mu[15]","mu[16]","mu[17]","mu[18]","mu[19]","mu[20]","mu[21]","mu[22]","mu[23]","mu[24]","mu[25]","mu[26]","mu[27]","mu[28]","mu[29]","mu[30]","mu[31]","mu[32]","mu[33]","mu[34]","mu[35]","mu[36]","mu[37]","mu[38]","mu[39]","mu[40]","mu[41]","mu[42]","mu[43]","mu[44]","mu[45]","mu[46]","mu[47]","mu[48]","mu[49]","mu[50]","mu[51]","mu[52]"
139955.257181958,548.071288574743,440.952900267236,1544.31319589256,-575.129482044176,6095.07727947557,-2231.60221976739,527.22638200426,216851.693398747,543351.043586328,953141.545857368,332591.703916837,625329.504598152,304023.241731284,623427.893118527,641600.757800336,409612.816883642,114472.840238905,530202.608063907,-90553.3284021092,531906.033072643,1022077.29401118,559072.215069534,174123.952328728,850490.985491767,-61806.7555683178,350271.988898897,556718.99440363,294698.2551498,54384.4913234847,807922.582471928,949366.45567435,918120.019696453,43122.9125719255,394847.995536479,52321.7964505988,728389.481022802,399561.531295861,446823.689490475,499240.142484734,746043.079381902,207661.689948454,296471.820056538,262127.475105567,876751.320691249,319550.524574887,546717.589711323,783713.499179114,1091637.87462873,638023.645444485,971821.192505499,577496.488191603,898694.231029317,515960.142723031,582931.905157847,95120.63479739,432941.676420538,455512.671966355,420796.325998119,705037.268153141
3494.55042306125,551.628380656495,-5430.14040239065,-3863.66308526816,1272.46958882669,8601.62533965465,551.906870522202,340.224798341727,279902.161357505,560632.270404292,429186.631200684,883105.976540843,947035.005032394,135268.028492161,569520.320296767,738309.607477988,468910.88881557,-466898.753226859,302055.439573905,-263237.691515783,390095.937524329,1081212.61565839,569697.580606432,-230682.513506374,752635.579698819,12589.5791177922,437262.1766578,260840.975299872,167107.433138718,-316288.319929439,843573.673533601,1126956.47487069,1007796.48260052,-250127.660487238,590879.634431831,132705.513969248,1406079.02595411,415522.954765294,249111.132760602,245583.506682239,719651.325007089,294221.682743327,163899.558180909,380263.967294427,902873.727099712,37498.5436449704,453703.725191685,688851.540867484,1239302.26016026,722125.746257082,1064530.67964181,878437.876342686,1142676.53125086,541441.610433324,95886.0274593608,-445077.294382122,73451.1810933045,427323.297917237,345191.550091246,533386.882894303
10750.3424038313,1458.78774862122,4923.27603074437,-576.816418966069,-2025.3787632676,1160.15244281815,-7036.40653991063,402.165648584655,-108177.388114265,-518630.230630351,136921.800702683,-560625.010258859,-867987.373372298,-183552.015870713,-5471.80773697574,-41507.2224411029,-502861.463807461,-87902.9834486056,-113701.986823171,-611015.598432705,-246313.616501997,74975.0560361902,-284348.467678268,37622.6377380775,-98885.7489428719,-613614.935364542,-696602.215185302,-120134.45947095,-367733.651848777,-98991.4154437894,-225110.473896422,-187141.924040164,-114024.169695626,-12650.0766656333,-436192.014252777,-687845.705405206,-1224217.87362335,-369368.278427284,-19416.0160666344,23340.2267459905,113495.41325624,-650604.550809853,-311498.659904749,-493614.435017712,-134246.84777996,-132720.605272945,-2802.31570582636,-148990.170719786,-284465.943056248,-336883.521295573,-185750.882837935,-963727.858748027,-387521.507671032,-558719.044796186,-35528.8255923207,-175657.295120721,-166341.735459389,-536866.750825105,-331052.082390088,-95720.4370266754
40235.0998349663,-1360.49196524813,3023.32655080989,704.375448218248,2343.57652351429,-948.414097826472,5910.04428025408,462.832648887977,666954.73197887,697317.488955118,434765.832384891,872192.832171781,1044329.4825291,430094.137317583,338229.92568964,354914.141681527,738009.709369049,377299.220563993,492037.237043759,877773.8521694,575153.782244416,296053.19802935,561914.879615454,211929.503198536,378248.131041295,788086.625356122,907209.096545931,442762.219487939,641736.403034581,373078.22056242,584055.351201614,528705.90884874,410334.836518323,287324.562048609,749043.291833602,856179.680308862,1356059.54289445,646420.368612308,895754.722190818,317730.297979048,240651.143051791,897208.742508289,565759.205409904,666459.117150282,371079.882404748,432576.810481239,295224.42540842,362812.915511511,630573.406663701,631439.443331132,482510.988954478,1185314.36830271,720883.913400252,852652.496258583,429416.433221035,560161.210180233,526601.893640251,773578.689065999,587801.915725682,423546.334613912
373495.769696084,-614.465174232667,1151.33266746486,-2784.8760924545,-2709.51713991502,4215.21495592548,1652.94410477577,568.358331120665,-68360.3719552865,205060.968507273,-276854.867631088,-285858.299427469,147592.014167062,21197.1060720269,-57662.2709598602,-33241.4105763239,-4232.73010193932,-500494.85984185,-369492.842674906,-524005.955495061,-92893.8538601069,197234.625336827,164941.775598287,-198065.540933363,196113.668200184,-221614.197693562,-261718.312178108,-325596.178088505,-254283.562862705,-446608.097365769,35690.0023294546,274318.502757442,355885.349032529,-265674.552553506,-200824.935365751,-149304.34595741,382455.762927695,-198344.698126151,-415620.702644472,-139526.321968725,108080.144300255,-312021.056367781,-198910.530075149,47786.4071246922,274749.523370275,-395858.995621643,-72082.715174711,287632.741319009,119599.03341775,44414.3097376588,230976.136202356,388102.207051711,352280.166223875,-78800.9088691751,-331215.32766928,-691987.895553158,-472883.02020012,139284.240461837,-75088.4608262152,-220979.968909077
463961.02069593,-1643.26359230245,1038.36537236533,2657.4395372017,-1145.92053684547,-2465.72642992304,463.531359622564,598.903687633703,-106747.49141587,-84157.9932042661,-31527.196463973,17462.9964844605,-226452.094553209,-36372.6555271599,-204639.189319082,-288407.858174741,-102563.314762888,187330.612196355,-95094.8959715871,80657.4602830544,-94552.0309277878,-356657.932779684,-148854.010721655,105631.154105492,-128811.120072534,-6004.4927672193,-109389.344889172,-83201.2051869771,-74727.5474699864,80758.754364394,-234638.612466669,-348943.924231398,-272994.774787866,65461.7589210084,-231857.600551081,-22490.0034996278,-344551.087766052,-162323.753596579,-239579.717611361,-77484.3235152406,-203543.695952108,-89422.2684575636,-42860.8483511322,-87453.6633512086,-189022.25456959,-10825.5637080384,-145041.338084934,-106534.053776179,-377553.506781343,-228817.610364414,-277359.006635879,-155172.076100716,-322594.276410564,-127145.666941661,24526.6247990317,147996.880834385,-16677.3082777313,-42911.6314874532,-61779.00662215,-150354.789559913
129559.548032796,-4368.31018627446,-116.876653922488,1799.60077937992,-934.665523882887,-2058.41004385608,3713.55565781905,516.27502496763,83966.8679866081,144503.502633925,-163011.186570055,-75536.6162123297,133071.331632548,46229.5667846175,-233792.071768826,-288250.274570746,90102.5525193563,85359.4895747987,-151341.12670959,197267.215216254,-34707.9807461892,-352549.015690253,-860.3861036413,31434.8491575829,-75105.3127772909,191904.488608609,80918.0807508636,-140223.427513704,12.9046524380101,9114.33959269142,-151024.864039463,-215526.834275046,-160212.78002281,9248.06727630266,-104385.272683612,215913.014036608,211741.458915482,-71029.5383817938,69834.0675458097,-122240.843428112,-228087.785084307,88991.8111827879,20066.9066989874,112546.244642371,-106664.462430833,-70605.9704940261,-177014.166762145,-13306.1254929275,-262577.554161377,-97313.6316733033,-182927.601805238,314929.965644594,-90785.1580712345,56293.638108705,-66037.6421737509,39253.1386866353,-89094.1427027532,184143.893292398,28682.4508809433,-196582.60171441
233578.898437279,-3448.65400262082,-1068.80733824831,-1364.68361759238,5675.84007394775,-1829.69436381497,2683.83281330837,567.674831239075,334421.535568281,324253.295851209,488036.59900397,213176.558647244,806741.615055966,251141.456162125,453482.889757034,546933.640600429,569059.565713727,350888.871856297,643903.233776342,928918.564271516,488988.469713336,314870.222637987,338767.44444306,107269.849078173,103342.401400387,743579.592177953,929609.001333303,563856.275967816,685357.149112543,486928.149433135,552208.889912951,441587.631246306,181064.265228398,265837.747420949,954187.473532159,737409.747693057,974034.126613077,749206.526726039,620310.904229673,306452.381458384,185975.689743468,971905.075075226,547412.920629555,500181.996461043,109007.431731413,537688.158203808,346618.837466025,2515.66195284261,640166.961743449,556779.09640166,345005.209191437,619695.22995031,473578.497964052,696371.045839261,379085.411482253,701559.642384605,658220.915600634,372977.309345442,462618.857381185,537532.682296353
100477.880690458,2344.84329932383,-597.27337256208,-3888.10906893797,-1119.2230853996,-4478.46367661341,3116.2148692067,504.291465722583,-824700.369454346,-602691.510261162,-818711.810840697,-110816.45057336,-759439.054279503,-400702.913139551,-821084.051622892,-819048.37027663,-562091.287744254,-507017.321459567,-913622.705245348,-316730.374202672,-758389.190007208,-1122207.71846399,-622056.946861162,-371910.783132983,-940329.243348145,-140870.625198853,-671021.487584083,-916941.203939469,-578586.88693763,-392789.101869784,-999508.632297783,-1006585.93332122,-916652.713102284,-254346.360544333,-664006.207072757,-244521.482285555,-752976.337728063,-659082.998290978,-292446.244460123,-714488.420969399,-845834.417468317,-532945.852707628,-542115.571915933,-349157.363092887,-915837.61707905,-675016.974053098,-728005.098065224,-801523.915775404,-1280997.31764563,-789710.786077065,-1064568.94709044,-561734.282860254,-919211.022133099,-747630.814711253,-951759.185816562,-611275.552661626,-874964.149253503,-543691.941470471,-618464.620616652,-1033388.86929501
376623.878695825,1121.47000658285,-1407.02419843251,348.12221125049,1137.51344097108,-405.870393667086,3809.65064664295,568.995476923373,284471.345536262,346580.439664717,394573.589560926,151911.098738479,543052.559216122,162561.755133478,90141.9963927911,93662.0835640853,342449.125219276,89025.6984319027,140234.667375236,386688.312630726,215243.878694193,46075.4667313212,231466.761322662,29285.1441852231,141326.22782487,375025.669632195,431007.913252755,133337.738308452,260794.250808271,106411.920788738,227904.994273184,220521.934094342,158305.344906702,39020.8809035315,331988.248646282,427301.71694406,738749.670316555,262654.481399557,389017.357805743,59857.7013070765,24340.5400699741,426061.075973488,228033.698928568,329090.080755382,136548.564418846,122699.2628572,72421.1174324826,147572.661531341,250052.644110846,248556.064308033,194069.698107256,633685.021177753,322857.003591216,374227.918957919,102822.673536868,157040.489764236,143291.408227889,354070.235180705,242319.559226132,127998.387736952
